Customer	Fleet	Vehicle Name	VIN	Vehicle Type	Vehicle Group	Axle	Tyre position	Sensor ID	Sensor Type	Tyre Brand	Tyre Size	Tyre Model	Retread	DOT	Mounted On	Odometer	Last Seen	Last Measured	Temperature	Temperature Unit	Battery	Signal	Gateway	Firmware	Hub	Trailer	Driver	Depot	Region	Country	Notes	Ticket	Created	Updated	Source	Status	Severity	Cold inflation pressure	Pressure deviation	Compensated Pressure	Pressure Unit	Pressure (non-compensated)
The Allen Company	Haul Division	DT 864		Truck		1	1L	C100000	Gen2		11R24.5							2026-09-08 06:14	70	F	60%														ContiConnect	No current reading	None	110.0			psi	
The Allen Company	Haul Division	DT 864		Truck		2	2L	C100001	Gen2		11R24.5							2026-09-08 06:14	71	F	61%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 864		Truck		3	3LI	C100002	Gen2		11R24.5							2026-09-08 06:14	72	F	62%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 864		Truck		3	3RI	C100003	Gen2		11R24.5							2026-09-08 06:14	73	F	63%														ContiConnect	Low pressure	Medium	110.0		109.0	psi	107.0
The Allen Company	Haul Division	DT 864		Truck		3	3LO	C100004	Gen2		11R24.5							2026-09-08 06:14	74	F	64%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 864		Truck		1	1R	C100005	Gen2		11R24.5							2026-09-08 06:14	75	F	65%														ContiConnect	No current reading	None	110.0			psi	
The Allen Company	Haul Division	DT 864		Truck		3	3RO	C100006	Gen2		11R24.5							2026-09-08 06:14	76	F	66%														ContiConnect	Low pressure	Medium	110.0		105.0	psi	103.0
The Allen Company	Haul Division	DT 864		Truck		4	4RO	C100007	Gen2		11R24.5							2026-09-08 06:14	77	F	67%														ContiConnect	Very low pressure	High	110.0		2.0	psi	0.0
The Allen Company	Haul Division	DT 864		Truck		4	4LI	C100008	Gen2		11R24.5							2026-09-08 06:14	78	F	68%														ContiConnect	Low pressure	Medium	110.0		93.0	psi	91.0
The Allen Company	Haul Division	DT 864		Truck		4	4LO	C100009	Gen2		11R24.5							2026-09-08 06:14	79	F	69%														ContiConnect	No alerts	None	110.0		115.0	psi	113.0
The Allen Company	Haul Division	DT 864		Truck		4	4RI	C100010	Gen2		11R24.5							2026-09-08 06:14	80	F	70%														ContiConnect	Low pressure	Medium	110.0		99.0	psi	97.0
The Allen Company	Haul Division	DT 864		Truck		2	2R	C100011	Gen2		11R24.5							2026-09-08 06:14	81	F	71%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 893		Truck		4	4LI	C100012	Gen2		11R24.5							2026-09-08 06:14	82	F	72%														ContiConnect	Low pressure	Medium	110.0		100.0	psi	98.0
The Allen Company	Haul Division	DT 893		Truck		3	3RO	C100013	Gen2		11R24.5							2026-09-08 06:14	83	F	73%														ContiConnect	No alerts	None	110.0		115.0	psi	113.0
The Allen Company	Haul Division	DT 893		Truck		3	3RI	C100014	Gen2		11R24.5							2026-09-08 06:14	84	F	74%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 893		Truck		2	2L	C100015	Gen2		11R24.5							2026-09-08 06:14	85	F	75%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 893		Truck		3	3LI	C100016	Gen2		11R24.5							2026-09-08 06:14	86	F	76%														ContiConnect	No alerts	None	110.0		108.0	psi	106.0
The Allen Company	Haul Division	DT 893		Truck		1	1L	C100017	Gen2		11R24.5							2026-09-08 06:14	87	F	77%														ContiConnect	No alerts	None	110.0		105.0	psi	103.0
The Allen Company	Haul Division	DT 893		Truck		4	4RI	C100018	Gen2		11R24.5							2026-09-08 06:14	88	F	78%														ContiConnect	Very low pressure	High	110.0		51.0	psi	49.0
The Allen Company	Haul Division	DT 893		Truck		4	4RO	C100019	Gen2		11R24.5							2026-09-08 06:14	89	F	79%														ContiConnect	Low pressure	Medium	110.0		103.0	psi	101.0
The Allen Company	Haul Division	DT 893		Truck		2	2R	C100020	Gen2		11R24.5							2026-09-08 06:14	90	F	80%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 893		Truck		3	3LO	C100021	Gen2		11R24.5							2026-09-08 06:14	91	F	81%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 893		Truck		1	1R	C100022	Gen2		11R24.5							2026-09-08 06:14	92	F	82%														ContiConnect	No alerts	None	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT 893		Truck		4	4LO	C100023	Gen2		11R24.5							2026-09-08 06:14	93	F	83%														ContiConnect	No alerts	None	110.0		115.0	psi	113.0
The Allen Company	Haul Division	DT 898		Truck		4	4LO	C100024	Gen2		11R24.5							2026-09-08 06:14	94	F	84%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 898		Truck		4	4RI	C100025	Gen2		11R24.5							2026-09-08 06:14	95	F	85%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 898		Truck		3	3RI	C100026	Gen2		11R24.5							2026-09-08 06:14	96	F	86%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 898		Truck		3	3RO	C100027	Gen2		11R24.5							2026-09-08 06:14	97	F	87%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 898		Truck		1	1R	C100028	Gen2		11R24.5							2026-09-08 06:14	98	F	88%														ContiConnect	No alerts	None	110.0		117.0	psi	115.0
The Allen Company	Haul Division	DT 898		Truck		3	3LI	C100029	Gen2		11R24.5							2026-09-08 06:14	99	F	89%														ContiConnect	Very low pressure	High	110.0		94.0	psi	92.0
The Allen Company	Haul Division	DT 898		Truck		3	3LO	C100030	Gen2		11R24.5							2026-09-08 06:14	70	F	90%														ContiConnect	No alerts	None	110.0		116.0	psi	114.0
The Allen Company	Haul Division	DT 898		Truck		4	4RO	C100031	Gen2		11R24.5							2026-09-08 06:14	71	F	91%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 898		Truck		4	4LI	C100032	Gen2		11R24.5							2026-09-08 06:14	72	F	92%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 898		Truck		1	1L	C100033	Gen2		11R24.5							2026-09-08 06:14	73	F	93%														ContiConnect	No alerts	None	110.0		115.0	psi	113.0
The Allen Company	Haul Division	DT 898		Truck		2	2R	C100034	Gen2		11R24.5							2026-09-08 06:14	74	F	94%														ContiConnect	Sensor loose/flipped	None	110.0			psi	
